GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.gateway,GatewayFlowRuleEntity,503,229,39,20,59,68,37,35,7,34
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.gateway,ApiPredicateItemEntity,34,59,5,5,5,14,7,7,2,7
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.gateway,ApiDefinitionEntity,226,125,18,12,36,37,20,19,6,18
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.gateway,GatewayParamFlowItemEntity,60,71,7,7,2,20,9,10,2,10
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.config,ServerFlowConfig,112,0,0,0,27,0,14,0,14,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.config,ClusterClientConfig,64,0,0,0,14,0,10,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.config,ServerTransportConfig,49,0,0,0,13,0,7,0,7,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller.gateway,GatewayApiController,163,353,22,26,34,79,24,8,2,6
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller.gateway,GatewayFlowRuleController,527,558,72,50,92,122,61,6,0,6
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.request,ClusterServerModifyRequest,105,0,0,0,23,0,16,0,16,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.request,ClusterClientModifyRequest,43,0,0,0,16,0,11,0,11,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.request,ClusterAppAssignMap,105,0,0,0,23,0,16,0,16,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.gateway,InMemGatewayFlowRuleStore,0,12,0,0,0,3,0,3,0,3
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.gateway,InMemApiDefinitionStore,0,12,0,0,0,3,0,3,0,3
